"SN","Source","Region","Country","Country_ID","ISO2","ISO3","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","LocationName","Longitude","Latitude","LocationType","Georeliability","Year_MDA1","N_MDA","Baseline_Prev","SurveyYear","Period","SurveyMonth","Passage","Method_0","Method_1","Method_2","Age_start","Age_end","Examined","Positive","Prevalence","CMFL","Vector_spp","Perc_PoolPositive","SourceOrigen","Funding","Composite_IU_ID"
"16046","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","MAMPRUGO MOADURI","21513","Mamprugu Moagduri","21513","GORIBA","-1.27","10.18","Village","1",null,null,null,"1998","Before 2001","May","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"124.0","14.0","0.112903226",null,"",null,"APOC","APOC Trust Fund","AGHA0216621513"
"16047","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","MAMPRUGO MOADURI","21513","Mamprugu Moagduri","21513","GORIBA","-1.27","10.18","Village","1",null,null,null,"2002","2001 - 2005","December","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"81.0","4.0","0.049382716",null,"",null,"APOC","APOC Trust Fund","AGHA0216621513"
"16048","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","JIRAPA","21545","Jirapa","21545","Guri","-2.50237","10.67526","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"141.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821545"
"16049","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","JIRAPA","21545","Jirapa","21545","Guri","-2.50237","10.67526","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"190.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821545"
"16050","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","GURUMBELE","-1.9026400000000001","9.8527299999999993","Village","1",null,null,null,"1992","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"290.0","22.0","7.5862069000000004E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16051","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","GURUMBELE","-1.9026400000000001","9.8527299999999993","Village","1",null,null,null,"1995","Before 2001","January","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"280.0","7.0","2.5000000000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16052","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","NORTH GONJA","21517","North Gonja","21517","GUSUBONG","-1.22","9.8599999999999994","Village","1",null,null,null,"1996","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"37.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216621517"
"16053","AFRO","Western Africa","Ghana","20","GH","GHA","EASTERN","2164","BIRIM CENTRAL","21464","Birim Central","21464","Gyadam","-1.0388900000000001","5.9279299999999999","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"226.0","1.0","4.4247790000000002E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216421464"
"16054","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ASANTE AKIM SOUTH","21387","Asante Akim South","21387","Gyankobaa","-1.2709444000000001","6.3388055999999997","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"196.0","98.0","0.5",null,"",null,"APOC","APOC Trust Fund","AGHA0216121387"
"16055","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ASANTE AKIM SOUTH","21387","Asante Akim South","21387","Gyankobaa","-1.2713699999999999","6.3386800000000001","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"118.0","4.0","3.3898304999999997E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121387"
"16056","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","Hiampe","-1.05585","8.0075000000000003","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"211.0","8.0","0.037914692",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16057","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1987","Before 2001","April","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"155.0","129.0","0.83225806499999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16058","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1987","Before 2001","September","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"129.0","109.0","0.84496123999999995",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16059","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1988","Before 2001","February","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"133.0","95.0","0.71428571399999996",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16060","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1988","Before 2001","October","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"133.0","111.0","0.83458646599999997",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16061","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1989","Before 2001","February","5","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"138.0","92.0","0.66666666699999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16062","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1989","Before 2001","October","6","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"135.0","104.0","0.77037036999999997",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16063","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1990","Before 2001","March","7","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"124.0","77.0","0.62096774200000004",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16064","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1990","Before 2001","October","8","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"122.0","95.0","0.77868852499999996",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16065","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1991","Before 2001","October","9","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"111.0","80.0","0.72072072099999995",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16066","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1992","Before 2001","May","10","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"100.0","43.0","0.42999999999999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16067","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1992","Before 2001","October","11","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"117.0","67.0","0.57264957299999997",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16068","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1994","Before 2001","October","12","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"104.0","26.0","0.25",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16069","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"1997","Before 2001","November","13","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"108.0","15.0","0.13888888899999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16070","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"2000","Before 2001","November","14","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"92.0","1.0","1.0869564999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16071","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"2004","2001 - 2005","September","15","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"298.0","13.0","4.3624161000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16072","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","HIAMPE","-1.03","8.0","Village","1",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"211.0","8.0","0.037914692",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16073","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","EJURA SEKYIDUMASI","21397","Ejura Sekyedumase","21397","HIAMPE-KONKOMBA","-1.4099999999999999","7.5800000000000001","Village","1",null,null,null,"1997","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"257.0","31.0","0.120622568",null,"",null,"APOC","APOC Trust Fund","AGHA0216121397"
"16074","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","EJURA SEKYIDUMASI","21397","Ejura Sekyedumase","21397","HIAMPE-KONKOMBA","-1.4099999999999999","7.5800000000000001","Village","1",null,null,null,"2001","2001 - 2005","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"104.0","1.0","9.6153850000000006E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216121397"
"16075","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","BANDA","21414","Banda","21414","HIAMPENIKA","-2.3100000000000001","8.3699999999999992","Village","1",null,null,null,"1987","Before 2001","August","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"116.0","47.0","0.40517241399999998",null,"",null,"APOC","APOC Trust Fund","AGHA0216221414"
"16076","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","WASSA AMENFI CENTRAL","21600","Wassa Amenfi Central","21600","Hiawa","-2.16215","5.6166200000000002","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"214.0","9.0","4.2056074999999998E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0217021600"
"16077","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","NZEMA EAST","21592","Nzema East","21592","Israel","-2.1038199999999998","4.9915500000000002","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"51.0","1.0","0.019607843",null,"",null,"APOC","APOC Trust Fund","AGHA0217021592"
"16078","AFRO","Western Africa","Ghana","20","GH","GHA","GREATER ACCRA","2165","LA NKWANTANANG MADINA","21498","La Nkwantanang-Madina","21498","ISRAEL","-0.2324193","5.6395007000000001","Village","1",null,null,null,"2002","2001 - 2005","December","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"90.0","1.0","0.011111111",null,"",null,"APOC","APOC Trust Fund","AGHA0216521498"
"16079","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","JABAGA","-1.7","10.050000000000001","Village","1",null,null,null,"1992","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"83.0","43.0","0.51807228900000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16080","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","JABAGA","-1.7","10.050000000000001","Village","1",null,null,null,"1995","Before 2001","January","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"86.0","21.0","0.24418604699999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16081","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","JABAGA","-1.7","10.050000000000001","Village","1",null,null,null,"1998","Before 2001","May","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"64.0","23.0","0.359375",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16082","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","JABAGA","-1.7","10.050000000000001","Village","1",null,null,null,"2001","2001 - 2005","April","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"28.0","10.0","0.35714285699999998",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16083","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","JABAGA","-1.7","10.050000000000001","Village","1",null,null,null,"2002","2001 - 2005","December","5","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"33.0","8.0","0.24242424200000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16084","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","SABOBA","21518","Saboba","21518","JACPUN/GALIMMATA","0.20000000000000001","9.6600000000000001","Village","1",null,null,null,"1993","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"180.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216621518"
"16085","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","SABOBA","21518","Saboba","21518","JACPUN/GALIMMATA","0.20000000000000001","9.6600000000000001","Village","1",null,null,null,"1999","Before 2001","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"138.0","3.0","2.1739129999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621518"
"16086","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","MION","21514","Mion","21514","JAGBENI (JABURU)","-0.17999999999999999","9.1099999999999994","Village","1",null,null,null,"1983","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"110.0","30.0","0.27272727299999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216621514"
"16087","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","MION","21514","Mion","21514","JAGBENI (JABURU)","-0.17999999999999999","9.1099999999999994","Village","1",null,null,null,"1993","Before 2001","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"117.0","9.0","7.6923077000000006E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621514"
"16088","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","MION","21514","Mion","21514","JAGBENI (JABURU)","-0.17999999999999999","9.1099999999999994","Village","1",null,null,null,"1998","Before 2001","May","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"44.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216621514"
"16089","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","JAKANIBE","-1.85687","10.15174","Village","1",null,null,null,"1993","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"435.0","28.0","6.4367815999999994E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16090","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","JAKANIBE","-1.85687","10.15174","Village","1",null,null,null,"1995","Before 2001","January","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"427.0","25.0","5.8548008999999998E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16091","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","JAKANIBE","-1.85687","10.15174","Village","1",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"138.0","2.0","0.014492754",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16092","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","JAMA-NSU-ANO","-2.23","8.3000000000000007","Village","1",null,null,null,"1987","Before 2001","August","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"37.0","4.0","0.10810810799999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16093","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","JAMA-NSU-ANO(535)","-2.23","8.3000000000000007","Village","1",null,null,null,"1987","Before 2001","August","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"37.0","4.0","0.10810810799999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16094","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","JAMA-NSU-ANO(535)","-2.23","8.3000000000000007","Village","1",null,null,null,"1994","Before 2001","January","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"125.0","12.0","9.6000000000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16095","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","JAMA-NSU-ANO(535)","-2.23","8.3000000000000007","Village","1",null,null,null,"1997","Before 2001","September","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"89.0","14.0","0.157303371",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16096","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","Jama Nsuano","-2.2330166999999999","8.2757167000000003","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"47.0","13.0","0.276595745",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16097","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","JAMA NSUANO","-2.23","8.3000000000000007","Village","1",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"47.0","7.0","0.14893617000000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16098","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","DAFFIAMA BUSSIE ISSA","21544","Daffiama Bussie Issa","21544","Jang","-2.4606599999999998","10.199730000000001","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"104.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821544"
"16099","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","DAFFIAMA BUSSIE ISSA","21544","Daffiama Bussie Issa","21544","JANG","-2.4606599999999998","10.199730000000001","Village","1",null,null,null,"1992","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"381.0","29.0","7.6115485999999996E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821544"
"16100","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","DAFFIAMA BUSSIE ISSA","21544","Daffiama Bussie Issa","21544","JANG","-2.4606599999999998","10.199730000000001","Village","1",null,null,null,"1999","Before 2001","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"324.0","3.0","9.2592590000000006E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216821544"
"16101","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","DAFFIAMA BUSSIE ISSA","21544","Daffiama Bussie Issa","21544","JANG","-2.4606599999999998","10.199730000000001","Village","1",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"103.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821544"
"16102","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","Jankanibe (Yaala No.2)","-1.8569833","10.150550000000001","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"139.0","2.0","1.4388489000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16103","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","SABOBA","21518","Saboba","21518","JANKPENIYA","0.20999999999999999","9.4900000000000002","Village","1",null,null,null,"1998","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"97.0","15.0","0.15463917499999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216621518"
"16104","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","SABOBA","21518","Saboba","21518","JANKPENIYA","0.20999999999999999","9.4900000000000002","Village","1",null,null,null,"2002","2001 - 2005","December","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"106.0","8.0","7.5471698000000004E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621518"
"16105","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","WASSA AMENFI WEST","21603","Wassa Amenfi West","21603","Jatokrom","-2.5606300000000002","5.7697900000000004","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"164.0","13.0","7.9268293000000004E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0217021603"
"16106","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"Jegbini",null,null,"Village","99",null,null,null,"2009","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"31.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"16107","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","PRU","21425","Pru","21425","Jerusalem","-1.3880718000000001","7.9890011999999997","Village","1",null,null,null,"2009","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"110.0","17.0","0.154545455",null,"",null,"APOC","APOC Trust Fund","AGHA0216221425"
"16108","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","WEST GONJA","21526","West Gonja","21526","JONOKPONTO","-1.54","9.2899999999999991","Village","1",null,null,null,"1996","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"190.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216621526"
"16109","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","JUMO","-1.91448","10.222799999999999","Village","1",null,null,null,"1992","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"142.0","1.0","7.0422540000000004E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16110","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"KAAKAA",null,null,"Village","99",null,null,null,"1989","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"204.0","42.0","0.20588235299999999",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"16111","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"KAAKAA",null,null,"Village","99",null,null,null,"2002","2001 - 2005","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"86.0","8.0","9.3023255999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"16112","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","BIAKOYE","21560","Biakoye","21560","KABOSSO","0.35999999999999999","7.6500000000000004","Village","1",null,null,null,"1978","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"344.0","255.0","0.74127907000000004",null,"",null,"APOC","APOC Trust Fund","AGHA0216921560"
"16113","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","BIAKOYE","21560","Biakoye","21560","KABOSSO","0.35999999999999999","7.6500000000000004","Village","1",null,null,null,"1986","Before 2001","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"281.0","222.0","0.79003558699999998",null,"",null,"APOC","APOC Trust Fund","AGHA0216921560"
"16114","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","BIAKOYE","21560","Biakoye","21560","KABOSSO","0.35999999999999999","7.6500000000000004","Village","1",null,null,null,"2000","Before 2001","April","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"187.0","2.0","0.010695187",null,"",null,"APOC","APOC Trust Fund","AGHA0216921560"
"16115","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","BIAKOYE","21560","Biakoye","21560","KABOSSO","0.35999999999999999","7.6500000000000004","Village","1",null,null,null,"2002","2001 - 2005","December","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"169.0","1.0","5.9171600000000003E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216921560"
"16116","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","KADEMA-GADDEM","-1.23031","10.594670000000001","Village","1",null,null,null,"1976","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"293.0","143.0","0.488054608",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
"16117","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","KADEMA-GADDEM","-1.23031","10.594670000000001","Village","1",null,null,null,"1980","Before 2001","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"142.0","49.0","0.34507042300000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
"16118","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","KADEMA-GADDEM","-1.23031","10.594670000000001","Village","1",null,null,null,"1983","Before 2001","March","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"118.0","24.0","0.20338983099999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
